image_file, comment_number,caption,id
1001573224.jpg, 0, Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .,10
1001573224.jpg, 1, Ballet dancers in a studio practice jumping with wonderful form .,10
1001573224.jpg, 2, Five girls are leaping simultaneously in a dance practice room .,10
1001573224.jpg, 3, Five girls dancing and bending feet in ballet class .,10
1001573224.jpg, 4, A ballet class of five girls jumping in sequence .,10
1001633352.jpg, 0, Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,11
1001633352.jpg, 1, Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them .,11
1001633352.jpg, 2, Four guys three wearing hats one not are jumping at the top of a staircase .,11
1001633352.jpg, 3, Four men with excited faces are jumping down from the top of stairs .,11
1001633352.jpg, 4, Four people are jumping from the top of a flight of stairs .,11
1001773457.jpg, 0, A black dog and a white dog with brown spots are staring at each other in the street .,12
1001773457.jpg, 1, A black dog and a tri-colored dog playing with each other on the road .,12
1001773457.jpg, 2, Two dogs of different breeds looking at each other on the road .,12
1001773457.jpg, 3, Two dogs on pavement moving toward each other .,12
1001773457.jpg, 4, A black dog and a spotted dog are fighting,12
1001896054.jpg, 0, A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .,13
1001896054.jpg, 1," John Deere tractors cruises down a street , while the driver wears easy to see clothing .",13
1001896054.jpg, 2, A man in a neon green and orange uniform is driving on a green tractor .,13
1001896054.jpg, 3, A man in a tractor wearing headphones driving down a paved street .,13
1001896054.jpg, 4, A man driving a John Deere tractor on a main road in the country .,13
100197432.jpg, 0, Some women are standing in front of a bus with buildings behind it .,14
100197432.jpg, 1, Several women stand on a city street with tall buildings .,14
100197432.jpg, 2, A group of women are standing in front of a bus .,14
100197432.jpg, 3, Several women wait outside in a city .,14
100197432.jpg, 4, Women are standing outside,14
100207720.jpg, 0, A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,15
100207720.jpg, 1, A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake .,15
100207720.jpg, 2, A woman wearing glasses sprinkles powdered sugar onto her bundt cake .,15
100207720.jpg, 3, Girl in black jacket sifting powdered sugar over a chocolate cake .,15
100207720.jpg, 4, A standing woman holds a pan over a cake .,15
1002674143.jpg, 0, A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,16
1002674143.jpg, 1, A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,16
1002674143.jpg, 2, There is a girl with pigtails sitting in front of a rainbow painting .,16
1002674143.jpg, 3, A little girl is sitting in front of a large painted rainbow .,16
1002674143.jpg, 4, Young girl with pigtails painting outside in the grass .,16
1003163366.jpg, 0, a man sleeping on a bench outside with a white and black dog sitting next to him .,17
1003163366.jpg, 1, A man lays on the bench to which a white dog is also tied .,17
1003163366.jpg, 2, man laying on bench holding leash of dog sitting on ground,17
1003163366.jpg, 3, A shirtless man lies on a park bench with his dog .,17
1003163366.jpg, 4, A man lays on a bench while his dog sits by him .,17
1003420127.jpg, 0," A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .",18
1003420127.jpg, 1," Five musicians , a man and four women , practicing sheet music (using flutes ) in a living room .",18
1003420127.jpg, 2," People gathered in a circle , some holding musical instruments .",18
1003420127.jpg, 3, People gathered in a room to talk about their favorite tunes .,18
1003420127.jpg, 4, Five people are sitting in a circle with instruments .,18
1003428081.jpg, 0," Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .",19
1003428081.jpg, 1, At least four instrumentalists play clarinets and other instruments in a curtained room .,19
1003428081.jpg, 2," Four women in a living room , three of which are clearly playing a musical instrument .",19
1003428081.jpg, 3, A bunch of elderly women play their clarinets together as they read off sheet music .,19
1003428081.jpg, 4," A group of four women , are performing music on their instruments .",19
100444898.jpg, 0, A person in gray stands alone on a structure outdoors in the dark .,20
100444898.jpg, 1, A large structure has broken and is laying in a roadway .,20
100444898.jpg, 2, A man in a gray coat is standing on a washed out bridge .,20
100444898.jpg, 3, A man stands on wooden supports and surveys damage .,20
100444898.jpg, 4, A man in a jacket and jeans standing on a bridge .,20
1005216151.jpg, 0, A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .,21
1005216151.jpg, 1, A large crowd of people stand outside in front of the entrance to a Metro station .,21
1005216151.jpg, 2, A group of people are walking through a city street .,21
1005216151.jpg, 3, A crowd is portrayed near a metro station .,21
1005216151.jpg, 4, Crowd standing outside a metro area .,21
100577935.jpg, 0, A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .,22
100577935.jpg, 1, A man is putting a tattoo on a another 's man upper back .,22
100577935.jpg, 2, A man with a black shirt giving another man a tattoo .,22
100577935.jpg, 3, A man is putting tattoo on his back .,22
100577935.jpg, 4, A man getting a tattoo on his back .,22
1006452823.jpg, 0," two children , a girl and a boy are practicing their writing .",23
1006452823.jpg, 1, Two children sit on a small seesaw in the sand .,23
1006452823.jpg, 2, Two children sitting on a teeter totter .,23
1006452823.jpg, 3, 2 kids playing on a seesaw,23
1006452823.jpg, 4, Two kids sit on a seesaw .,23
100652400.jpg, 0, A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .,24
100652400.jpg, 1, A man wearing a hard hat and a caution vest is standing in the street waving an orange flag .,24
100652400.jpg, 2, A man in bright vest and hard hat holds a flag on a street corner covered in spray paint,24
100652400.jpg, 3, A construction worker is standing in the street and holding a red flag .,24
100652400.jpg, 4, A man wearing a reflective vest and a hard hat holds a flag in the road,24
1007129816.jpg, 0, The man with pierced ears is wearing glasses and an orange hat .,25
1007129816.jpg, 1, A man with glasses is wearing a beer can crocheted hat .,25
1007129816.jpg, 2, A man with gauges and glasses is wearing a Blitz hat .,25
1007129816.jpg, 3, A man in an orange hat starring at something .,25
1007129816.jpg, 4, A man wears an orange hat and glasses .,25
100716317.jpg, 0, A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .,26
100716317.jpg, 1," A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .",26
100716317.jpg, 2, A person with gray hair is painting in a public place surrounded by others who are also painting .,26
100716317.jpg, 3, Lady in blue coat with white and brown hat standing in front of a painting .,26
100716317.jpg, 4, Passerby admiring painting at an outdoor art fair .,26
1007205537.jpg, 0, A man stands on one foot while holding on to a waste basket .,27
1007205537.jpg, 1, A man in green pants and blue shirt pushing a cart .,27
1007205537.jpg, 2, Janitor pushing dolly outside with janitor tools .,27
1007205537.jpg, 3, A man in green pants walking down the road .,27
1007205537.jpg, 4, A man in bright pants is pushing a cart .,27
1007320043.jpg, 0, A small child grips onto the red ropes at the playground .,28
1007320043.jpg, 1, A little girl in pink climbs a rope bridge at the park .,28
1007320043.jpg, 2, The small child climbs on a red ropes on a playground .,28
1007320043.jpg, 3, A little girl climbing on red roping .,28
1007320043.jpg, 4, A child playing on a rope net .,28
100759042.jpg, 0, Young man in jacket holding a toothpick with something on the end of it,29
100759042.jpg, 1, A young man traveling on bus with a piece of flower in his hands .,29
100759042.jpg, 2, A teen holding an unknown object for photographers .,29
100759042.jpg, 3, A young man on a train holds an origami crane .,29
100759042.jpg, 4, You know i am looking like Justin Bieber .,29
10082347.jpg, 0, Young blond man in a blue and yellow jacket smiling while standing in front of a net .,30
10082347.jpg, 1, A young man in a black and yellow jacket is gazing at something and smiling .,30
10082347.jpg, 2, A young man holding a pole vault looks determined .,30
10082347.jpg, 3, A man is holding a pole and smiling .,30
10082347.jpg, 4, A smiling man looking at the sky .,30
10082348.jpg, 0, A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .,31
10082348.jpg, 1, A man is wearing a ball cap and holding a coffee cup between to urinals .,31
10082348.jpg, 2, a man is posing next to a urinal with a cup of coffee .,31
10082348.jpg, 3, A man holds a coffee cup while in the bathroom .,31
10082348.jpg, 4, A man standing at a urinal with a coffee cup .,31
100845130.jpg, 0, Five people walking with a multicolored sky in the background .,32
100845130.jpg, 1, Four people walking through the sunset in clear blue skies .,32
100845130.jpg, 2, Four people walking with the sun setting behind them .,32
100845130.jpg, 3, Four silhouettes decorate the horizon 's sunset .,32
100845130.jpg, 4, A group of people walking as the sun sets .,32
10090841.jpg, 0, A man with black hair sits in a restaurant with a glass of beer .,33
10090841.jpg, 1, A man is sitting at a table with a drink .,33
10090841.jpg, 2, A man is sitting at a table with a beer .,33
10090841.jpg, 3, A dark-haired man sitting drinking .,33
10090841.jpg, 4, A old man having a beer alone .,33
1009434119.jpg, 0, A black and white dog is running in a grassy garden surrounded by a white fence .,34
1009434119.jpg, 1, A Boston Terrier is running on lush green grass in front of a white fence .,34
1009434119.jpg, 2, A black and white dog is running through the grass .,34
1009434119.jpg, 3, A dog runs on the green grass near a wooden fence .,34
1009434119.jpg, 4, A Boston terrier is running in the grass .,34
1009692167.jpg, 0, An officer in a reflective vest stands at the front of his van with his dog .,35
1009692167.jpg, 1, A trained police dog sits next to his handler in front of the police van .,35
1009692167.jpg, 2, A security man with his watch dog is looking for something .,35
1009692167.jpg, 3, A policeman is standing with a German Shepherd dog .,35
1009692167.jpg, 4, A policeman stops on a street with a search dog .,35
101001624.jpg, 0," The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .",36
101001624.jpg, 1, A young boy rides a bike down a snow covered road .,36
101001624.jpg, 2, A boy in the snow riding his bike down the street .,36
101001624.jpg, 3, A person riding a bike on a snowy road .,36
101001624.jpg, 4, A person riding a bike in snow .,36
1010031975.jpg, 0," Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .",37
1010031975.jpg, 1, small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking .,37
1010031975.jpg, 2, Five men in white short-sleeved shirts and ties stand in a parking lot .,37
1010031975.jpg, 3, A group of men wearing ties talk while standing on the street .,37
1010031975.jpg, 4, Colleges stop to take a break from there business meetings .,37
1010087179.jpg, 0, A tan man with a backwards hat looks at the camera while walking through a factory .,38
1010087179.jpg, 1, Older man working in a factory not looking too excited about the photograph .,38
1010087179.jpg, 2, A man in a white shirt and black camp among many machines .,38
1010087179.jpg, 3, A man with a backwards hat works on machinery .,38
1010087179.jpg, 4, A man wearing a backwards cap at work .,38
1010087623.jpg, 0, A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .,39
1010087623.jpg, 1, A black woman and a white man working in a factory setting packing jars with candles into boxes .,39
1010087623.jpg, 2, A woman is sorting white tall candles as a man in a green shirt stands behind her .,39
1010087623.jpg, 3, A warehouse manager assisting an employee .,39
1010087623.jpg, 4, Two people working on an assembly line .,39
10101477.jpg, 0," Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background .",40
10101477.jpg, 1, A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,40
10101477.jpg, 2, A man in a white and blue kimono is using a broom to sweep pavement .,40
10101477.jpg, 3, Man sweeping the street outside .,40
10101477.jpg, 4, Asian man sweeping the walkway .,40
1010470346.jpg, 0, two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by,41
1010470346.jpg, 1," A man leans into a car to talk to the driver , as a man on a bicycle looks on .",41
1010470346.jpg, 2, A man on a bicycle watching a row of cars waiting to go through a checkpoint .,41
1010470346.jpg, 3, A park ranger talking to a tourist .,41
1010470346.jpg, 4, Two cars are parked outside .,41
1010673430.jpg, 0, A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .,42
1010673430.jpg, 1, Two young children eating a snack and playing in the grass .,42
1010673430.jpg, 2, Two young toddlers outside on the grass .,42
1010673430.jpg, 3, Two infants are at play in the yard .,42
1010673430.jpg, 4, 2 female babies eating chips .,42
101093029.jpg, 0, A person in tan pants is inside a silver mobile object while people watch .,43
101093029.jpg, 1, People are watching a person in a weird vehicle in a plaza .,43
101093029.jpg, 2, A man in a blue shirt driving a Segway type vehicle .,43
101093029.jpg, 3, a showing of product to advertise,43
101093029.jpg, 4, A crowd admiring modern art ?,43
101093045.jpg, 0," A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",44
101093045.jpg, 1, A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,44
101093045.jpg, 2, A person riding in a futuristic single-person vehicle .,44
101093045.jpg, 3, man walking up to silver 4-wheeled chair,44
101093045.jpg, 4, A man walks by a silver vehicle .,44
1011572216.jpg, 0, bride and groom walking side by side out of focus on pathway next to brick building .,45
1011572216.jpg, 1, A beautiful bride walking on a sidewalk with her new husband .,45
1011572216.jpg, 2, A recently married couple pose for the camera .,45
1011572216.jpg, 3, A groom and bride are standing arm in arm .,45
1011572216.jpg, 4, A couple getting married .,45
1012150929.jpg, 0, A little boy plays with a Nintendo GameCube controller inside a McDonald 's .,46
1012150929.jpg, 1, A young boy plays a video game in a McDonald 's restaurant .,46
1012150929.jpg, 2, A young boy plays with a GameCube kiosk at McDonald 's .,46
1012150929.jpg, 3, A little boy playing GameCube at a McDonald 's .,46
1012150929.jpg, 4, A little kid playing GameCube at McDonald 's .,46
1012212859.jpg, 0, White dog with brown ears standing near water with head turned to one side .,47
1012212859.jpg, 1," Dog with orange ball at feet , stands on shore shaking off water",47
1012212859.jpg, 2, A white dog shakes on the edge of a beach with an orange ball .,47
1012212859.jpg, 3, White dog playing with a red ball on the shore near the water .,47
1012212859.jpg, 4," A dog shakes its head near the shore , a red ball next to it .",47
1012328893.jpg, 0, A group of people picnicking at picnic tables in front of a playground .,48
1012328893.jpg, 1, A group of people enjoying a beautiful day in the park .,48
1012328893.jpg, 2, A group of people are having a picnic at the park .,48
1012328893.jpg, 3, The reunion is in full swing with a moon bounce .,48
1012328893.jpg, 4, A group of people having a barbecue at a park .,48
101262930.jpg, 0," Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass .",49
101262930.jpg, 1, A man in sunglasses puts his arm around a woman in a black and white blouse .,49
101262930.jpg, 2, A man in sunglasses puts his arm around a woman .,49
101262930.jpg, 3, A man and woman pose in front of some traffic .,49
101262930.jpg, 4, An Asian couple sitting on the bench .,49
1013536888.jpg, 0," Women are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .",50
1013536888.jpg, 1, An elderly woman is eating a burger while the man next to her touching his hat .,50
1013536888.jpg, 2, A man with a balloon hat and people eating outdoors at picnic tables .,50
1013536888.jpg, 3, Two older women sit at a table with two coolers in front of them .,50
1013536888.jpg, 4, A gray-haired person with glasses enjoys a sandwich .,50
101362133.jpg, 0, A young female student performing a downward kick to break a board held by her Karate instructor .,51
101362133.jpg, 1, Girl about to kick a piece of wood in half while karate instructor holds it,51
101362133.jpg, 2, A girl kicking a stick that a man is holding in tae kwon do class .,51
101362133.jpg, 3, A girl in karate uniform breaking a stick with a front kick .,51
101362133.jpg, 4, A girl breaking boards by using karate .,51
101362650.jpg, 0, Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,52
101362650.jpg, 1, A boy jump kicking over three kids kicking wood during a tae kwon do competition .,52
101362650.jpg, 2, A boy jumps over three other students in a martial arts demonstration .,52
101362650.jpg, 3, A crowd is watching a group of five martial artists perform .,52
101362650.jpg, 4, A crowd of people watch a martial arts demonstration .,52
1014609273.jpg, 0, People on two balconies and a man climbing up a pipe towards the lower balcony getting liquid poured on him .,53
1014609273.jpg, 1, A kid in a red sweatshirt is reaching to hand something to a man in a white shirt,53
1014609273.jpg, 2, A young boy empties a bottle over the railing of a balcony unto the man below .,53
1014609273.jpg, 3, a boy in a red jacket pouring water on a man in a white shirt,53
1014609273.jpg, 4, A young man pouring the contents of a bottle .,53
101471792.jpg, 0, A man with a red jacket is shielding himself from the sun trying to read a piece of paper .,54
101471792.jpg, 1, a man wearing a red coat is outside with his hand over his head to block out the sun .,54
101471792.jpg, 2, A man in a red jacket shades the sun from his eyes on a busy street .,54
101471792.jpg, 3, An elderly man in a red jacket shielding his face from the sun .,54
101471792.jpg, 4, Man in red jacket shielding face from the sun to read .,54
1014785440.jpg, 0, Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .,55
1014785440.jpg, 1," Two men , each with a small child on their backs , walk on a paved road .",55
1014785440.jpg, 2, Two men are out for a stroll with their two young children .,55
1014785440.jpg, 3, Men walking down a street with children .,55
1014785440.jpg, 4, Two men walking with children .,55
1015118661.jpg, 0, Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,56
1015118661.jpg, 1, A little boy is standing on the street while a man in overalls is working on a stone wall .,56
1015118661.jpg, 2, A young child is walking on a stone paved street with a metal pole and a man behind him .,56
1015118661.jpg, 3, A boy smiles in front of a stony wall in a city .,56
1015118661.jpg, 4, A young boy runs aross the street .,56
1015584366.jpg, 0, A mottled black and gray dog in a blue collar jumping over a fallen tree .,57
1015584366.jpg, 1, A gray dog is leaping over a fallen tree .,57
1015584366.jpg, 2, A large black dog leaps a fallen log .,57
1015584366.jpg, 3, The black dog jumped the tree stump .,57
1015584366.jpg, 4, A black dog leaps over a log .,57
101559400.jpg, 0," Men in the business suits are crossing the street , and there are people with placards are gathering on the street .",58
101559400.jpg, 1, A man in a suit runs across an intersection while a large group of people assembles .,58
101559400.jpg, 2," A man in a suit is running past two other gentleman , also dressed in a suit .",58
101559400.jpg, 3, A man in a suit is hurrying across the street .,58
101559400.jpg, 4, A man in a suit is running across the street .,58
1015712668.jpg, 0, A man in a red long-sleeved shirt bikes over a body of water on a bridge .,59
1015712668.jpg, 1, A man riding his bike across the bridge that is over the river .,59
1015712668.jpg, 2, A man in red on a bicycle rides past a glass structure .,59
1015712668.jpg, 3, Man in a red shirt riding his bicycle around water .,59
1015712668.jpg, 4, A man in a red shirt rides his bicycle .,59
10160966.jpg, 0, A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .,60
10160966.jpg, 1, A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .,60
10160966.jpg, 2, A young man in sunglasses holds a blue cup next to a grill with sausages .,60
10160966.jpg, 3," A young man , wearing a white shirt , prepares hotdogs on a small grill .",60
10160966.jpg, 4, A man is holding his cup while he grills hotdogs .,60
101654506.jpg, 0, The white and brown dog is running over the surface of the snow .,61
101654506.jpg, 1, a white and brown dog is running through a snow covered field .,61
101654506.jpg, 2, A brown and white dog is running through the snow .,61
101654506.jpg, 3, A dog running through snow .,61
101654506.jpg, 4, A dog is running in the snow,61
1016626169.jpg, 0, Man on scooter attracts attention from some of those in large crowd .,62
1016626169.jpg, 1, A crowd is standing and waiting for the green light .,62
1016626169.jpg, 2, People stop and look at an older woman outside .,62
1016626169.jpg, 3, A crowd of people waiting to cross a street .,62
1016626169.jpg, 4, A crowd of people waiting for the light .,62
101669240.jpg, 0, A person wearing skis looking at framed pictures set up in the snow .,63
101669240.jpg, 1, A man in a hat is displaying pictures next to a skier in a blue hat .,63
101669240.jpg, 2, A man skis past another man displaying paintings in the snow .,63
101669240.jpg, 3, A skier looks at framed pictures in the snow next to trees .,63
101669240.jpg, 4, Man on skis looking at artwork for sale in the snow,63
1016887272.jpg, 0, Several climbers in a row are climbing the rock while the man in red watches and holds the line .,64
1016887272.jpg, 1, Seven climbers are ascending a rock face whilst another man stands holding the rope .,64
1016887272.jpg, 2, A group of people are rock climbing on a rock climbing wall .,64
1016887272.jpg, 3, A group of people climbing a rock while one man belays,64
1016887272.jpg, 4, A collage of one person climbing a cliff .,64
1017675163.jpg, 0," A young gymnast , jumps high in the air , while performing on a balance beam .",65
1017675163.jpg, 1, A woman wearing an orange leotard doing gymnastics in front of an audience .,65
1017675163.jpg, 2, A gymnast performing on the balance beam in front of an audience .,65
1017675163.jpg, 3, The young gymnast 's supple body soars above the balance beam .,65
1017675163.jpg, 4, A gymnast is performing on the balance beam .,65
1018057225.jpg, 0, a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .,66
1018057225.jpg, 1, A young boy is pushing a toy ATV around a rubber pool,66
1018057225.jpg, 2, a boy pushing a red toy atv next to a pool,66
1018057225.jpg, 3, A boy pushing a miniature car on a lawn .,66
1018057225.jpg, 4, A young boy pushing his toy quad .,66
1018148011.jpg, 0, A group of people stand in the back of a truck filled with cotton .,67
1018148011.jpg, 1, Men are standing on and about a truck carrying a white substance .,67
1018148011.jpg, 2, A group of people are standing on a pile of wool in a truck .,67
1018148011.jpg, 3, A group of men are loading cotton onto a truck,67
1018148011.jpg, 4, Workers load sheared wool onto a truck .,67
101859883.jpg, 0, a woman with a red jacket and headscarf looks out over a scenic view of a bay through a set of pay binoculars on a viewing deck .,68
101859883.jpg, 1, A woman inside a building is wearing a headscarf and looking out of a window through a mounted telescope .,68
101859883.jpg, 2, Woman in red windbreaker looking though a rooftop binoculars at the city below .,68
101859883.jpg, 3, A woman in a headscarf uses a telescope to look out over the city and bay .,68
101859883.jpg, 4, A Woman is looking through a telescope while wearing a red coat .,68
10188041.jpg, 0, A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,69
10188041.jpg, 1, A man is standing in front of a small red object that looks like a plane .,69
10188041.jpg, 2, A man wearing a black jacket is walking towards the street .,69
10188041.jpg, 3, A man in a black jacket is moving towards a street .,69
10188041.jpg, 4, Man in black coat examining airplane nose .,69
1019077836.jpg, 0, Large brown dog running away from the sprinkler in the grass .,70
1019077836.jpg, 1, A brown dog chases the water from a sprinkler on a lawn .,70
1019077836.jpg, 2, A brown dog running on a lawn near a garden hose,70
1019077836.jpg, 3, a brown dog plays with the hose .,70
1019077836.jpg, 4, A dog is playing with a hose .,70
101958970.jpg, 0, A man and a little girl happily posing in front of their cart in a supermarket .,71
101958970.jpg, 1, A man sitting with his daughter in his daughter 's pink car in a grocery store .,71
101958970.jpg, 2, A man is sitting on a pink cart with a little girl in the grocery store .,71
101958970.jpg, 3, A man with his daughter sitting on a stroller in a supermarket .,71
101958970.jpg, 4, The little girl and the man are smiling .,71
1019604187.jpg, 0, A dog prepares to catch a thrown object in a field with nearby cars .,72
1019604187.jpg, 1, A white dog is ready to catch a yellow ball flying through the air .,72
1019604187.jpg, 2, A white dog is about to catch a yellow ball in its mouth .,72
1019604187.jpg, 3, A white dog is about to catch a yellow dog toy .,72
1019604187.jpg, 4, A white dog running after a yellow ball,72
102030371.jpg, 0, A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .,73
102030371.jpg, 1, Guy in green shirt with hand covering part of his face in restaurant booth .,73
102030371.jpg, 2, Man sitting at a table at a restaurant with a glass of water .,73
102030371.jpg, 3, A man in a green sweater and black vest sitting in a booth .,73
102030371.jpg, 4, A boy in a green sweater is sitting at a table .,73
1020651753.jpg, 0, A white dog is trying to catch a ball in midair over a grassy field .,74
1020651753.jpg, 1, The white dog is playing in a green field with a yellow toy .,74
1020651753.jpg, 2, a black and white dog jumping in the air to get a toy .,74
1020651753.jpg, 3, A black and white dog jumps up towards a yellow toy .,74
1020651753.jpg, 4, A dog leaps to catch a ball in a field .,74
1021293940.jpg, 0, Two men are hiking in a forest where snow is partially covering the ground .,75
1021293940.jpg, 1, Two men hiking in the snowy wilderness .,75
1021293940.jpg, 2, Two hikers resting by a patch of snow .,75
1021293940.jpg, 3, Two men look up while hiking .,75
1021293940.jpg, 4, Two men hiking in the snow .,75
1021332107.jpg, 0," An elderly man with facial hair and glasses , standing in his living room holding a hutch cabinet with glass doors .",76
1021332107.jpg, 1, An older man in a gray shirt with a white long-sleeve shirt under it holding up a small wooden cabinet .,76
1021332107.jpg, 2," A middle-aged man with a white beard and glasses holds up a small , wooden handmade cabinet .",76
1021332107.jpg, 3, A man showing off his new wooden creation .,76
1021332107.jpg, 4, A man with beard carrying a cabinet .,76
1021439420.jpg, 0," two guys sitting on the floor , with the guy in the green jacket reading a piece of paper .",77
1021439420.jpg, 1, A elderly father and his grown son are preparing for a camping trip in the wild .,77
1021439420.jpg, 2, Two men sit on the floor with camping equipment .,77
1021439420.jpg, 3, Two men sitting on their living floor .,77
1021439420.jpg, 4, Two guys sorting through some items .,77
1021442086.jpg, 0," A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .",78
1021442086.jpg, 1, A bearded traveler in a red shirt sitting in a car and reading a map .,78
1021442086.jpg, 2, A man wearing a baseball cap is sitting in a car looking at a map .,78
1021442086.jpg, 3, a man in a red t-shirt is sitting in a car looking at a map .,78
1021442086.jpg, 4, A man trying to decipher a map .,78
